policy,sid,turn,arrival_s,node,history_blocks,missing_blocks,recovery,ttft_s,slo_success,seed
on_demand,22,5,91.0,2,62,62,recompute,6.641666666666661,0,2
on_demand,3,4,92.5,0,41,41,recompute,3.8000000000000114,0,2
on_demand,11,4,93.0,1,51,51,recompute,6.375,0,2
on_demand,12,3,93.0,2,36,0,hit,5.349999999999999,0,2
on_demand,30,3,93.0,0,38,38,recompute,7.100000000000008,0,2
on_demand,6,4,94.0,1,54,0,hit,6.0,0,2
on_demand,10,6,95.5,3,64,0,hit,2.625,0,2
on_demand,8,4,97.5,2,44,0,hit,1.9249999999999972,1,2
on_demand,35,4,98.5,3,43,43,transfer,2.525,0,2
on_demand,33,1,100.0,2,18,18,recompute,1.8333333333333333,1,2
on_demand,20,4,100.5,1,42,42,recompute,3.891666666666661,0,2
on_demand,21,3,100.5,0,29,29,recompute,3.0500000000000114,0,2
on_demand,17,5,101.5,3,59,59,recompute,5.275000000000006,0,2
on_demand,5,4,102.0,2,50,50,recompute,4.633333333333326,0,2
on_demand,28,4,102.0,0,60,60,recompute,7.083333333333347,0,2
on_demand,16,1,103.0,1,18,18,recompute,3.316666666666663,0,2
on_demand,6,5,104.0,1,63,0,hit,2.724999999999999,0,2
on_demand,7,3,104.5,2,36,36,recompute,5.458333333333329,0,2
on_demand,19,2,107.0,3,27,27,recompute,2.5333333333333363,0,2
on_demand,32,1,108.0,1,16,16,recompute,1.5833333333333333,1,2
on_demand,33,2,110.0,2,29,0,hit,0.32499999999999807,1,2
on_demand,36,1,110.5,0,17,17,recompute,1.7083333333333335,1,2
on_demand,2,4,111.5,1,51,51,recompute,4.583333333333333,0,2
on_demand,23,3,111.5,2,38,38,recompute,3.458333333333333,0,2
on_demand,30,4,112.0,0,53,0,hit,0.9583333333333286,1,2
on_demand,18,4,113.0,3,53,53,recompute,4.541666666666667,0,2
on_demand,3,5,114.5,0,49,49,recompute,4.291666666666666,0,2
on_demand,21,4,116.0,2,39,39,recompute,3.4166666666666665,0,2
on_demand,5,5,116.5,1,60,60,transfer,3.374999999999995,0,2
on_demand,16,2,117.0,3,23,23,transfer,2.516666666666674,0,2
on_demand,32,2,118.0,1,24,0,hit,2.4666666666666637,0,2
on_demand,17,6,119.0,3,70,0,hit,1.3833333333333495,1,2
on_demand,20,5,122.0,0,52,52,recompute,4.5,0,2
on_demand,30,5,126.0,0,62,0,hit,1.266666666666661,1,2
on_demand,12,4,126.5,1,48,48,recompute,4.333333333333333,0,2
on_demand,2,5,127.5,2,64,64,transfer,3.4083333333333337,0,2
on_demand,36,2,127.5,3,29,29,recompute,2.625,0,2
on_demand,28,5,130.0,0,72,72,recompute,6.25,0,2
on_demand,16,3,133.0,3,33,4,transfer,0.45,1,2
on_demand,8,5,136.0,1,58,58,recompute,5.166666666666666,0,2
on_demand,7,4,140.0,0,41,41,recompute,3.75,0,2
on_demand,21,5,141.5,2,46,0,hit,0.375,1,2
on_demand,36,3,143.0,3,40,0,hit,0.375,1,2
on_demand,16,4,146.5,3,43,0,hit,0.20833333333333334,1,2
on_demand,12,5,147.0,1,61,0,hit,0.2916666666666667,1,2
on_demand,5,6,148.5,0,70,70,recompute,6.166666666666666,0,2
on_demand,33,3,152.0,1,37,37,recompute,3.375,0,2
on_demand,23,4,152.5,2,49,49,recompute,4.208333333333333,0,2
on_demand,32,3,152.5,3,35,35,recompute,3.25,0,2
on_demand,19,3,155.5,0,39,39,recompute,3.5833333333333335,0,2
on_demand,12,6,157.0,1,75,0,hit,0.375,1,2
on_demand,36,4,160.5,3,55,0,hit,0.20833333333333334,1,2
on_demand,16,5,167.0,3,50,33,transfer,1.775,1,2
on_demand,19,4,170.0,0,51,0,hit,0.3333333333333333,1,2
on_demand,33,4,175.0,1,47,29,transfer,1.6166666666666667,1,2
on_demand,32,4,178.0,3,45,1,transfer,0.21666666666666667,1,2
on_demand,32,5,190.0,3,51,0,hit,0.20833333333333334,1,2
on_demand,33,5,195.0,1,55,0,hit,0.3333333333333333,1,2
eager_full,11,0,0.0,0,0,0,hit,0.625,1,2
eager_full,24,0,0.5,1,0,0,hit,0.5416666666666666,1,2
eager_full,17,0,1.0,2,0,0,hit,0.4583333333333333,1,2
eager_full,39,0,1.0,3,0,0,hit,0.5416666666666666,1,2
eager_full,0,0,2.0,0,0,0,hit,0.5416666666666666,1,2
eager_full,26,0,3.0,0,0,0,hit,0.5416666666666666,1,2
eager_full,2,0,3.5,1,0,0,hit,0.5833333333333334,1,2
eager_full,6,0,5.0,0,0,0,hit,0.4583333333333333,1,2
eager_full,18,0,5.0,1,0,0,hit,0.4166666666666667,1,2
eager_full,15,0,6.0,2,0,0,hit,0.5416666666666666,1,2
eager_full,31,0,6.5,0,0,0,hit,0.3333333333333333,1,2
eager_full,3,0,7.5,0,0,0,hit,0.4583333333333333,1,2
eager_full,10,0,8.0,1,0,0,hit,0.375,1,2
eager_full,4,0,9.5,0,0,0,hit,0.3333333333333333,1,2
eager_full,22,0,10.0,1,0,0,hit,0.625,1,2
eager_full,34,0,11.0,0,0,0,hit,0.4583333333333333,1,2
eager_full,13,0,12.5,0,0,0,hit,0.4166666666666667,1,2
eager_full,21,0,12.5,1,0,0,hit,0.3333333333333333,1,2
eager_full,20,0,13.0,2,0,0,hit,0.5,1,2
eager_full,14,0,15.0,0,0,0,hit,0.375,1,2
eager_full,39,1,15.0,2,15,0,hit,0.25,1,2
eager_full,1,0,15.5,1,0,0,hit,0.625,1,2
eager_full,35,0,16.0,0,0,0,hit,0.5416666666666666,1,2
eager_full,15,1,17.0,2,16,0,hit,0.2916666666666667,1,2
eager_full,30,0,17.0,1,0,0,hit,0.625,1,2
eager_full,10,1,18.0,1,16,0,hit,0.375,1,2
eager_full,17,1,18.5,2,17,0,hit,0.16666666666666666,1,2
eager_full,29,0,18.5,0,0,0,hit,0.5416666666666666,1,2
eager_full,28,0,19.0,2,0,0,hit,0.5416666666666666,1,2
eager_full,26,1,19.5,0,15,0,hit,0.25,1,2
eager_full,4,1,20.0,0,11,0,hit,0.6833333333333347,1,2
eager_full,31,1,20.0,1,10,0,hit,0.125,1,2
eager_full,34,1,21.0,2,18,0,hit,0.125,1,2
eager_full,38,0,21.0,1,0,0,hit,0.5833333333333334,1,2
eager_full,22,1,21.5,1,20,0,hit,0.8083333333333336,1,2
eager_full,18,1,22.0,3,17,16,transfer,1.0916666666666668,1,2
eager_full,20,1,23.0,2,18,0,hit,0.16666666666666666,1,2
eager_full,27,0,23.0,0,0,0,hit,0.4583333333333333,1,2
eager_full,5,0,24.5,0,0,0,hit,0.625,1,2
eager_full,1,1,25.5,1,21,0,hit,0.20833333333333334,1,2
eager_full,13,1,25.5,0,17,0,hit,0.20833333333333334,1,2
eager_full,14,1,26.0,0,13,0,hit,0.3166666666666641,1,2
eager_full,3,1,27.0,3,16,15,transfer,1.0416666666666667,1,2
eager_full,35,1,27.5,2,18,0,hit,0.16666666666666666,1,2
eager_full,10,2,28.0,1,29,0,hit,0.125,1,2
eager_full,15,2,29.0,2,25,0,hit,0.375,1,2
eager_full,4,2,30.0,0,26,0,hit,0.125,1,2
eager_full,21,1,30.5,3,12,11,transfer,0.7166666666666667,1,2
eager_full,29,1,31.0,0,15,3,transfer,0.4833333333333333,1,2
eager_full,28,1,32.5,2,19,0,hit,0.3333333333333333,1,2
eager_full,31,2,32.5,3,19,9,transfer,0.575,1,2
eager_full,6,1,34.0,3,18,17,transfer,0.975,1,2
eager_full,1,2,35.5,1,31,0,hit,0.16666666666666666,1,2
eager_full,17,2,35.5,0,24,24,transfer,1.45,1,2
eager_full,39,2,35.5,2,28,0,hit,0.3333333333333333,1,2
eager_full,8,0,36.0,3,0,0,hit,0.5,1,2
eager_full,0,1,37.5,3,16,15,transfer,0.9583333333333334,1,2
eager_full,34,2,37.5,0,23,23,recompute,2.2083333333333335,0,2
eager_full,2,1,38.0,1,21,21,transfer,1.2166666666666668,1,2
eager_full,12,0,38.0,2,0,0,hit,0.625,1,2
eager_full,26,2,39.0,2,27,27,transfer,1.6416666666666668,1,2
eager_full,30,1,39.0,3,20,19,transfer,1.1166666666666667,1,2
eager_full,13,2,39.5,0,26,0,hit,0.8833333333333329,1,2
eager_full,37,0,40.0,1,0,0,hit,0.5,1,2
eager_full,14,2,40.5,0,22,0,hit,0.44999999999999807,1,2
eager_full,29,2,41.0,0,25,0,hit,0.6833333333333276,1,2
eager_full,5,1,42.0,3,18,17,transfer,1.1,1,2
eager_full,10,3,42.0,1,36,0,hit,0.25,1,2
eager_full,22,2,42.0,1,29,5,transfer,1.4916666666666696,1,2
eager_full,28,2,42.5,2,34,0,hit,0.3333333333333333,1,2
eager_full,38,1,44.5,3,20,16,transfer,1.0083333333333333,1,2
eager_full,9,0,45.0,0,0,0,hit,0.625,1,2
eager_full,18,2,45.0,1,30,30,transfer,1.75,1,2
eager_full,1,3,45.5,2,41,41,transfer,2.2166666666666663,0,2
eager_full,8,1,46.0,3,17,0,hit,0.20833333333333334,1,2
eager_full,27,1,46.5,0,16,16,transfer,1.175,1,2
eager_full,2,2,48.0,1,30,28,transfer,1.6916666666666667,1,2
eager_full,11,1,48.0,3,21,20,transfer,1.375,1,2
eager_full,32,0,48.5,0,0,0,hit,0.4166666666666667,1,2
eager_full,21,2,50.0,3,19,18,transfer,1.025,1,2
eager_full,37,1,50.0,1,17,0,hit,0.4250000000000019,1,2
eager_full,13,3,50.5,0,39,0,hit,0.16666666666666666,1,2
eager_full,14,3,50.5,0,30,0,hit,0.6749999999999948,1,2
eager_full,20,2,51.5,0,27,27,transfer,1.475,1,2
eager_full,30,2,51.5,3,30,0,hit,0.4333333333333348,1,2
eager_full,5,2,52.0,3,30,9,transfer,0.8916666666666676,1,2
eager_full,39,3,52.0,2,40,23,transfer,1.275,1,2
eager_full,10,4,52.5,1,49,49,recompute,4.333333333333333,0,2
eager_full,35,2,52.5,3,29,28,transfer,2.3583333333333307,0,2
eager_full,3,2,53.0,0,25,25,transfer,1.6499999999999986,1,2
eager_full,38,2,54.5,2,29,7,transfer,0.6,1,2
eager_full,7,0,55.0,0,0,0,hit,0.375,1,2
eager_full,9,1,55.0,3,22,21,transfer,1.4416666666666704,1,2
eager_full,1,4,55.5,2,49,0,hit,0.20833333333333334,1,2
eager_full,23,0,57.0,0,0,0,hit,0.375,1,2
eager_full,34,3,57.5,3,33,32,transfer,1.8083333333333333,1,2
eager_full,8,2,58.5,0,28,28,recompute,2.4583333333333335,0,2
eager_full,0,2,59.0,1,25,25,transfer,1.5416666666666667,1,2
eager_full,13,4,60.5,0,46,0,hit,1.3083333333333371,1,2
